ds,y
2024-10-14 01:28:00,62458.69
2024-10-14 01:29:00,62436.0
2024-10-14 01:30:00,62459.16
2024-10-14 01:31:00,62508.0
2024-10-14 01:32:01,62537.06
2024-10-14 01:33:01,62600.0
2024-10-14 01:34:01,62604.11
2024-10-14 01:35:01,62636.36
2024-10-14 01:36:01,62582.23
2024-10-14 01:37:01,62621.21
2024-10-14 01:38:01,62592.33
2024-10-14 01:39:01,62616.0
2024-10-14 01:40:02,62629.15
2024-10-14 01:41:02,62712.49
2024-10-14 01:42:02,62646.67
2024-10-14 01:43:02,62672.0
2024-10-14 01:44:02,62646.69
2024-10-14 01:45:02,62612.42
2024-10-14 01:46:02,62661.6
2024-10-14 01:47:02,62629.17
2024-10-14 01:48:02,62590.79
2024-10-14 01:49:03,62608.01
2024-10-14 01:50:03,62608.01
2024-10-14 01:51:03,62599.9
2024-10-14 01:52:03,62614.93
2024-10-14 01:53:03,62654.0
2024-10-14 01:54:03,62659.78
2024-10-14 01:55:03,62664.0
2024-10-14 01:56:03,62651.99
2024-10-14 01:57:03,62636.36
2024-10-14 01:58:03,62655.02
2024-10-14 01:59:04,62619.9
2024-10-14 02:00:04,62636.27
2024-10-14 02:01:04,62619.92
2024-10-14 02:02:04,62639.99
2024-10-14 02:03:04,62708.94
2024-10-14 02:04:04,62724.99
2024-10-14 02:05:04,62742.11
2024-10-14 02:06:04,62745.37
2024-10-14 02:07:04,62668.01
2024-10-14 02:08:05,62676.46
2024-10-14 02:09:05,62702.41
2024-10-14 02:10:05,62745.25
2024-10-14 02:11:05,62807.13
2024-10-14 02:12:05,62783.45
2024-10-14 02:13:05,62795.37
2024-10-14 02:14:05,62774.76
2024-10-14 02:15:05,62815.58
2024-10-14 02:16:05,62879.99
2024-10-14 02:17:06,62768.12
2024-10-14 02:18:06,62793.54
2024-10-14 02:19:06,62803.4
2024-10-14 02:20:06,62767.98
2024-10-14 02:21:06,62700.01
2024-10-14 02:22:06,62709.99
2024-10-14 02:23:06,62714.0
2024-10-14 02:24:06,62727.27
2024-10-14 02:25:06,62732.0
2024-10-14 02:26:06,62739.14
2024-10-14 02:27:07,62720.01
2024-10-14 02:28:07,62727.27
2024-10-14 02:29:07,62757.57
2024-10-14 02:30:07,62738.09
2024-10-14 02:31:07,62706.0
2024-10-14 02:32:07,62690.12
2024-10-14 02:33:07,62696.0
2024-10-14 02:34:07,62698.01
2024-10-14 02:35:08,62705.99
2024-10-14 02:36:08,62709.27
2024-10-14 02:37:08,62654.1
2024-10-14 02:38:08,62656.49
2024-10-14 02:39:08,62618.46
2024-10-14 02:40:08,62627.95
2024-10-14 02:41:08,62593.78
2024-10-14 02:42:08,62587.41
2024-10-14 02:43:08,62520.82
2024-10-14 02:44:09,62473.99
2024-10-14 02:45:09,62468.0
2024-10-14 02:46:09,62436.6
2024-10-14 02:47:09,62461.18
2024-10-14 02:48:09,62504.0
2024-10-14 02:49:09,62542.37
2024-10-14 02:50:09,62537.97
2024-10-14 02:51:09,62510.0
2024-10-14 02:52:09,62548.0
2024-10-14 02:53:10,62570.73
2024-10-14 02:54:10,62566.37
2024-10-14 02:55:10,62575.76
2024-10-14 02:56:10,62504.0
2024-10-14 02:57:10,62503.56
2024-10-14 02:58:10,62498.96
2024-10-14 02:59:10,62528.37
2024-10-14 03:00:10,62529.89
2024-10-14 03:01:10,62507.41
2024-10-14 03:02:11,62500.0
2024-10-14 03:03:11,62479.97
2024-10-14 03:04:11,62471.25
2024-10-14 03:05:11,62429.9
2024-10-14 03:06:11,62444.0
2024-10-14 03:07:11,62457.99
2024-10-14 03:08:12,62461.98
2024-10-14 03:09:12,62489.99
2024-10-14 03:10:12,62462.09
2024-10-14 03:11:12,62372.55
2024-10-14 03:12:12,62366.01
2024-10-14 03:13:12,62340.5
2024-10-14 03:14:12,62342.67
2024-10-14 03:15:12,62342.0
2024-10-14 03:16:12,62384.0
2024-10-14 03:17:13,62446.0
2024-10-14 03:18:13,62480.0
2024-10-14 03:19:13,62480.8
2024-10-14 03:20:13,62496.0
2024-10-14 03:21:13,62491.65
2024-10-14 03:22:13,62485.91
2024-10-14 03:23:13,62517.09
2024-10-14 03:24:14,62497.98
2024-10-14 03:25:14,62474.35
2024-10-14 03:26:14,62499.66
2024-10-14 03:27:14,62515.73
2024-10-14 03:28:14,62515.15
2024-10-14 03:29:14,62537.62
2024-10-14 03:30:14,62553.29
2024-10-14 03:31:14,62593.48
2024-10-14 03:32:14,62595.64
2024-10-14 03:33:15,62623.11
2024-10-14 03:34:15,62560.0
2024-10-14 03:35:15,62566.37
2024-10-14 03:36:15,62480.17
2024-10-14 03:37:15,62469.46
2024-10-14 03:38:15,62424.0
2024-10-14 03:39:15,62411.99
2024-10-14 03:40:15,62444.89
2024-10-14 03:41:15,62404.11
2024-10-14 03:42:16,62420.0
2024-10-14 03:43:16,62375.49
